data_type,pii_data_point,token,is_active,hash,created_by,modified_by
EMAIL,"vault:v1:4KOLZ4FUIht4gW6OAVY2u3m3cUAPEvo84auJWf3B9sU7a/E3/EoC6iE16GunAJGB",TKN_1COPSSC7GEH1_EMAIL,false,d2ff23dee120d7a3b25d3c34a007ea2e,system,admin
MOBILE_NUMBER,"vault:v1:LM8aFg7wpnYwNAozvVpOQLM7xSZoF5YHydLYncmGawvfs4KBgfA=",TKN_1COPSSC7GEH1_MOBILE_NUMBER,false,9ce691e9facf04739fb0f88ab5eb7585,system,admin
DATE_OF_BIRTH,"vault:v1:+8DtDiZLpxAiJm63hJUzINXD5JiZyBAq6DGAd5YzgJ/N3WgQe50=",TKN_1COPSSC7GEH1_DATE_OF_BIRTH,false,2f8bb18c8c8711bfdd29385229509a2d,system,admin
ADDRESS,"vault:v1:nGaCsqY9I/ZXs4Yh6wXiiYfgyXtarszNsHxFJB9Tfsnu4WvMWStCwL4irDbd8N0nWTz4a93y0/UooGAOAorhk/HBNU17avaS",TKN_1COPSSC7GEH1_ADDRESS,false,2c3e008884cd9d8e845ac71a61d466e1,system,admin
CITY,"vault:v1:mOs1nq60KOZ4omK2csSGp4HqduWWZ6KzIZftTKZMNR2jNlI=",TKN_1COPSSC7GEH1_CITY,false,006277a439e394ad5761149061600bb1,system,admin
COUNTRY,"vault:v1:DBWs416s3vrtRlxpckg5o8mPBzr6eS8OD/Q5clE2+8ln",TKN_1COPSSC7GEH1_COUNTRY,false,c0b0e5ff9e511817c69c6157bae7c53a,system,admin
PAN_CARD,"vault:v1:LdKbjDxu6c+YYgQ+Xdlc8Y7pBl2QU+v1AysIHELglgSsExU/5WE=",TKN_1COPSSC7GEH1_PAN_CARD,false,c7fe091969637a24bb6e8133e65e2436,system,admin
FIRST_NAME,"vault:v1:0gBIbrGibF6xK2U3gyKaonPp0Iv8frN/KWWVZVSOCT8=",TKN_F0BXO6ZCOLW0_FIRST_NAME,true,bbd2999fae5e66f73ef9e1de25fda6c7,system,api
LAST_NAME,"vault:v1:C4gMIOPlrYYotxUP8Ie6nLvQcp5jCN1B7wCyuhMvteGfLt8=",TKN_F0BXO6ZCOLW0_LAST_NAME,true,14326e9b215b558a3bf8cfe390ff3be2,system,api
EMAIL,"vault:v1:8Wn0i9jKHjrKOOFUtKnPtA6HOcqaplDBUiGHBGQbaXHlWPLwEBbUTOnmO54ekFEAMQ+2",TKN_F0BXO6ZCOLW0_EMAIL,true,f5303a4cddee0ce6faece347f6a14460,system,api
MOBILE_NUMBER,"vault:v1:n6dPaPQuG2utWn993/1c6xOgcUPark8wwtm6bCLqxpQccQTXR0Y=",TKN_F0BXO6ZCOLW0_MOBILE_NUMBER,true,34530c57b8e7814e541db251d04db1bf,system,api
DATE_OF_BIRTH,"vault:v1:NmF9lVo+iC2ymyCcQVU0zLSGCI0Ci5L+CEJT1rn6hL5K35HuNfM=",TKN_F0BXO6ZCOLW0_DATE_OF_BIRTH,true,555ae7edf30fc23319e4251f2a6758fb,system,api
ADDRESS,"vault:v1:a0XYrrlh+zYBqohxPimxzFx0rZ8b9hRMrjpHFqZDvYk3YYDB2NxuEZiZJ4CxSMd6YwKxUCHO0z944AGw6YCgm6tEEU5iQ8JV1QPR1JrJQUE=",TKN_F0BXO6ZCOLW0_ADDRESS,true,cde97842dbb021a39804461b8732a57f,system,api
CITY,"vault:v1:nJvOnucaKRmkzX+mdWuLLfw3Xmtaou/rclaOTQiyIsg=",TKN_F0BXO6ZCOLW0_CITY,true,d7f475aafdf132f1ecb91f8405ff7bfd,system,api
COUNTRY,"vault:v1:+JMKSf1VJVuMRDeXGp5jFF9irTGUnudfZXo4CT0nQ0Ej",TKN_F0BXO6ZCOLW0_COUNTRY,true,bb42ed6dd20b95cbb939f8b9cd03e74f,system,api
FIRST_NAME,"vault:v1:UEqbA4DgQAfYgV45zNi2cVOUqcl62H5zmoSn3qPSPUZp",TKN_NAFWTYM0JBP9_FIRST_NAME,true,9348f7421e39b3f47731c99700bf3863,api,system
LAST_NAME,"vault:v1:ddIUlncB6KQ6eWVihU9ZLfPpE2T3d+0O6YJRhMRtgQJ4WEQ=",TKN_NAFWTYM0JBP9_LAST_NAME,true,13cc35e1498d965c9d85469b3592c46d,api,system
EMAIL,"vault:v1:CZJQQpiE41dC9JXEIi5fLyUnEhFT5cC26mGcwtb+TxX2dYJjDIJzvNbOCKF+fiJJC3lM",TKN_NAFWTYM0JBP9_EMAIL,true,bc17a171db3e4775a871a03defc29a3f,api,system
MOBILE_NUMBER,"vault:v1:uHy59yFi3mKF7TOrQ/gV9dNwIyQDcquy2iBLAUyd1FDkBpxnQW0=",TKN_NAFWTYM0JBP9_MOBILE_NUMBER,true,d13dce8bb46843abee2d56f8bfcaea48,api,system
DATE_OF_BIRTH,"vault:v1:riuKleGVrNF5HWL/fU1i1A/21pLgeoayB6r0xw0YLxsenz/E9Ho=",TKN_NAFWTYM0JBP9_DATE_OF_BIRTH,true,5760bed6a19d51bc31a264ac14323f2c,api,system
ADDRESS,"vault:v1:Xd3Lth/oHU6eVYaWj8uQA44bm/eNmDHyz/0odRTkaI2/jy2DVFRLfaampAF+RzOTi6xpEPFoDVPVvlXWO50FXPMS19I2MrQ=",TKN_NAFWTYM0JBP9_ADDRESS,true,6bba908d2b2566688f3dda0bd13bf5f7,api,system
CITY,"vault:v1:WeblJ2is8ixno4gkzVd0FUEpzZHEGGF9vicLuR3EgDCctLI=",TKN_NAFWTYM0JBP9_CITY,true,f542d14ea5858505f8ef454bb66703d3,api,system
COUNTRY,"vault:v1:C9sJblJ/4L0EL0dSUEEiQIG1F4u5OPDE9EUMN1ElvY9C",TKN_NAFWTYM0JBP9_COUNTRY,true,887d98ddc7f2dafc45f568f2ac4bc7eb,api,system
PAN_CARD,"vault:v1:hwFJY0EErVbOSVsBqsPuzYcOf0jkmbxpJu9zX3B6CmUz4m8P+BU=",TKN_NAFWTYM0JBP9_PAN_CARD,true,fcc07e8dd1d84082cb76191d953e6040,api,system
FIRST_NAME,"vault:v1:G+LMEqaDG9ngV3GHP/1roN/i1QPcFrFugh6VGwrRR4UrXw==",TKN_FCYP33JX6V5Q_FIRST_NAME,false,e2df3d73bf3bca292215c0a63f5ac425,system,api
LAST_NAME,"vault:v1:RIesuNchK1sBeD9ox+ZtD7w0x238SsFqVCljREw56Wo7",TKN_FCYP33JX6V5Q_LAST_NAME,false,860f12959a9bd1ec11270a4a3e904943,system,api
EMAIL,"vault:v1:8vsfPfX9M8rSvHYkZy8ZxhRki7g8kgyg/SUWbixObc19mXeyE3FtX6cE4JZavwehhFJt4UzA",TKN_FCYP33JX6V5Q_EMAIL,false,821786d639005f265c280da80cf89789,system,api
MOBILE_NUMBER,"vault:v1:Lcf/x7oSoGkiJJAdCR4s/v2hG/uQyUR+Bfgpnbpp6vBkMdNwqZQ=",TKN_FCYP33JX6V5Q_MOBILE_NUMBER,false,e10fc6916bef82cd4e71dd795b2b3184,system,api
DATE_OF_BIRTH,"vault:v1:AdlK3eiO1bzg+/2Gs9ARAL2Sqbpqg+YxOrzqOV+QzZBocA+ZLNo=",TKN_FCYP33JX6V5Q_DATE_OF_BIRTH,false,7240374dd551116081467c912a917c84,system,api
ADDRESS,"vault:v1:9HkabFoJ/Qu5b/GqhTQ0uDwTTy5q9hkWRZ9CpaFcQg5AtpysZhgIhJ7aiyAQzF3B/YGJ75iQIgCaYQ4TxFPjPrqiR280vA==",TKN_FCYP33JX6V5Q_ADDRESS,false,a06e98d23249e8199f2b0a2df1586c0d,system,api
CITY,"vault:v1:LYnTGjsmrK4DKeHEWkwSdR4dP1QLcKFvBh/6N3hKfob/vQ==",TKN_FCYP33JX6V5Q_CITY,false,c6113fd8700d796e673961949b9401a5,system,api
COUNTRY,"vault:v1:hyVORsMgDYOvV1r/MLML+AKkUSg/aN9FehprTHP0uFCD",TKN_FCYP33JX6V5Q_COUNTRY,false,8f186f839615e1c0ac4e32473b5e6f3f,system,api
PASSPORT_NUMBER,"vault:v1:WWH7JSWrZimNsemSp25uf+kuiKz4Lh3/4TKk7Y+FC/R0dKh9",TKN_FCYP33JX6V5Q_PASSPORT_NUMBER,false,14341a1df6170029009e0840d5eb31e6,system,api
FIRST_NAME,"vault:v1:hi6iXgTt95FM1H8NOJmUS8D2LbRTlr9q2KMrK0gI8g0=",TKN_D1CIC4K9DF0S_FIRST_NAME,true,fefe471393d0574cf89db58fe0bfe855,system,system
LAST_NAME,"vault:v1:QP3Fn6YwDEVIgCG5VmqPddM+LcPwnDZdr4iTnZHNPQ==",TKN_D1CIC4K9DF0S_LAST_NAME,true,1ca2fb6090e808575d63ee6805b0a8aa,system,system
EMAIL,"vault:v1:Aym1T0eVtVJuYDk/yHQOxgoRhj8xbGUXJ/+wMsQSEUjHPaPFAzff7BjdsXBX6CrIHGo=",TKN_D1CIC4K9DF0S_EMAIL,true,ae2ce02a5748068fc5929eb5ca34cb91,system,system
MOBILE_NUMBER,"vault:v1:uw1ldkadfouRWpMQl6whJSqJGOWTmp/mhgGooKPm9EDvycy+ii0=",TKN_D1CIC4K9DF0S_MOBILE_NUMBER,true,a01349633ff8046009e7e994d6e067af,system,system
DATE_OF_BIRTH,"vault:v1:AV6NV54hS3CHyHOZF7JdL6UV0ALoZCxnG4xJZoyTCNfTUPrPzbs=",TKN_D1CIC4K9DF0S_DATE_OF_BIRTH,true,d1edc7394e41f256215a64fa4eafa375,system,system
ADDRESS,"vault:v1:FRVKh/e5hwyFuc6N9oi/meMCIcwZrjsQ6/707CFRtALhvyfR6UJHJbnp8IgHoWjoxAd56ldVunQU1EyWgpo9/QiZIyj9H//X",TKN_D1CIC4K9DF0S_ADDRESS,true,384ecc48b1bf9054edf7749314eaa06e,system,system
CITY,"vault:v1:hdyhXWbmu55ja2iU8IDaJ5Ejugtz6fXxDHPFj4HyeHQc92E=",TKN_D1CIC4K9DF0S_CITY,true,1285a0fa42ac758111e2eeb3b4589731,system,system
COUNTRY,"vault:v1:bkn0hLa3m2KpOOmsA/Th4SXBEWmXXI/9zsFN8eDo+rd+",TKN_D1CIC4K9DF0S_COUNTRY,true,3cda87c65dc3615325ffa1ba950072cc,system,system
PAN_CARD,"vault:v1:jexD9BuL1U+GcGqe+vtztuOJsiHKbawQfIbhaYF8+lOtMvYrCbo=",TKN_D1CIC4K9DF0S_PAN_CARD,true,fc57fc6cd8288b5cdb580ed3fc85a412,system,system
FIRST_NAME,"vault:v1:aZkSlS9ldYaidFKosvJ8sRd2k/9+hIDq6HZRfdUhKm5m",TKN_47K4E8JLLO63_FIRST_NAME,true,64555f5cf3bf011a2cdecaff8643b9c2,system,api
LAST_NAME,"vault:v1:+3I+H1nE0St3HG21ZjDfgv2xg90UcyqhiL6PHAPfbPJe8A==",TKN_47K4E8JLLO63_LAST_NAME,true,e20b95526c7b560d088676a050bb6ccc,system,api
EMAIL,"vault:v1:NXSgw4nFMoJj+nL/1uwtdeOh2FDPjcD15yoj2ND+TFXjkJEosrrn0IlYioHmAopjiWo=",TKN_47K4E8JLLO63_EMAIL,true,ba7229171127a74d82045166669dfbb7,system,api
MOBILE_NUMBER,"vault:v1:abNuAI7a88meHd0U1k9uWb2PgvdJaAFmhlrfn44YJil6jU5zbd4=",TKN_47K4E8JLLO63_MOBILE_NUMBER,true,d3dec9cc89809dedcf6b372b6b0dd950,system,api
DATE_OF_BIRTH,"vault:v1:J387NeJiV+fW4qwG1F3qhGumWGjlhFlrceK8sVHKvxZFfiPE++s=",TKN_47K4E8JLLO63_DATE_OF_BIRTH,true,98adad5bcb6cf159e10496ed0f8cbb36,system,api
ADDRESS,"vault:v1:PCzbkljPtHtSDuIRXlytQtdZsrnRhd2g4b6eNjYM5U7EYkFZEWyJVVUseM8DykLnDgzmB3CAEMvTTyrJIBZAsaEtRc6cimHAIL4QNpwy",TKN_47K4E8JLLO63_ADDRESS,true,0fa830d4b3c69b12dcbadb96cfa40997,system,api
CITY,"vault:v1:ixoJ/OD6yERZFmI2ACzjsxGShl2LCnDrrYGeSueei/Gx",TKN_47K4E8JLLO63_CITY,true,8af65ff086cf0e680c1478485ac2a392,system,api
COUNTRY,"vault:v1:dFheubTyQMDWYu3PNU8bQXWuXCxR4+lsxaAQFEftcA6D",TKN_47K4E8JLLO63_COUNTRY,true,ce2971e80d94dad26e3ca65b5020a3d6,system,api
PAN_CARD,"vault:v1:V1K+pYL2wXAQCFqgBBEee7M6NsiSh/z2Hf7IK6lVqQeXMNVoys8=",TKN_47K4E8JLLO63_PAN_CARD,true,383889ce468c80a1009f480e66416ccd,system,api
FIRST_NAME,"vault:v1:jmr2TQdensMjcR1MAXeAE+DK/D2eB1KQz4v0malamwrl",TKN_E3U4RZ7I2KOX_FIRST_NAME,true,e285ca53fb019298127780998d7aa9cf,system,admin
LAST_NAME,"vault:v1:X4AUvf/oX70/dH7m1V1Rip6TWcwv+XxZhd+/QWoCuQ1q+Q==",TKN_E3U4RZ7I2KOX_LAST_NAME,true,d095025e6062f7c71c91129784cdcb06,system,admin
EMAIL,"vault:v1:2UsUMl7dlhNZkdb8EwJYDXqFgkePNVtqdQs9zAcwRfMBjCETmmYDM8YAHpG4ackBs3I=",TKN_E3U4RZ7I2KOX_EMAIL,true,34e133e4c37684129c1934417157cf47,system,admin
MOBILE_NUMBER,"vault:v1:TmWdMYC/nLq4FFhPjSnTvpKRTL4h3L49VVAuLWlw3RvwvIVpM8I=",TKN_E3U4RZ7I2KOX_MOBILE_NUMBER,true,19508cb92388c0fb8408c661b732e9d1,system,admin
DATE_OF_BIRTH,"vault:v1:Dc0TgVypX78wEqpduAnEMDTz7fJOPKTXxLbSeSEOpjLsDfjPraY=",TKN_E3U4RZ7I2KOX_DATE_OF_BIRTH,true,45d0c0d723d267e8886e656adfdeda2e,system,admin
ADDRESS,"vault:v1:Xou6GL+s8fvhsHGlg1G9S1TpCnMzK/0YLQRS+4KsplPbFjSvA15IUdLtfnSrCSEBfyxolmeXVmHBAUlKFHRB7ML7VdIpjdBYrcmLMbV9HU4=",TKN_E3U4RZ7I2KOX_ADDRESS,true,3cab1ba65676b85710b6ccf040b61daf,system,admin
CITY,"vault:v1:iBrmVef5p/iA8vkSkoR4Vd8qczWTzefzS/HuWz/A1U16ibclskMw",TKN_E3U4RZ7I2KOX_CITY,true,d829925c5c32d978747a16e752357a39,system,admin
COUNTRY,"vault:v1:tliO7xl+ZgVVb80JYG1hzReQAnquAPZBhuzSbZ7L2iG+",TKN_E3U4RZ7I2KOX_COUNTRY,true,e67f9f4f8e3f209fdb627b47f6354591,system,admin
MIDDLE_NAME,"vault:v1:2P6vAR/7Jrl5BLOWfN3NrXrM7CS2udEsyzy31tsQc/NPd4A=",TKN_E3U4RZ7I2KOX_MIDDLE_NAME,true,d9deb1300d001f49554c97ddc38f4102,system,admin
FIRST_NAME,"vault:v1:Mn9evm19a4RQxuX6XB1Ub5KZnm3fAlvMGpyDL93p5tL0sg==",TKN_CM2RQPPXOUWB_FIRST_NAME,true,ae8284d7d5ee579562e2b71571507bc9,system,user
LAST_NAME,"vault:v1:VnRem1H6EhwAupqQ9fiTP6XASqeqVb/TlGHr+fkSaw==",TKN_CM2RQPPXOUWB_LAST_NAME,true,ad01daf425ab44057060599f393a2803,system,user
EMAIL,"vault:v1:GZUPKCY3f6og4g7rZI7Lq+py0byhNyvSJE3EDdhjBj9ArSB06NyWJkTr5CnYSF0a9d8=",TKN_CM2RQPPXOUWB_EMAIL,true,b6c76fda32a9b1751e6ad025ace8af8f,system,user
MOBILE_NUMBER,"vault:v1:lcaggvxXEmv1jg3p6S685ndo+LkXAFspARFxt3CFDLu1jQPoxvQ=",TKN_CM2RQPPXOUWB_MOBILE_NUMBER,true,11e8e64e43f8960b611a9b7878d07c09,system,user
DATE_OF_BIRTH,"vault:v1:IVX4XmTydAoBQBsdF5cgkC60cd9ZrgqBa37xmdCd5eSnZmMQOJk=",TKN_CM2RQPPXOUWB_DATE_OF_BIRTH,true,64ba1e60c9cb2458a1105aba71a77a40,system,user
ADDRESS,"vault:v1:DPXpHZowwv4UHqECsHBx6nQ+1lPe+Lc5rOu5/unTRQmO93OORw8HZySPlpRkFTw97HX0yeewQw5fNTVieySQwxcy07SiR1Oka6xrV/X+Lw==",TKN_CM2RQPPXOUWB_ADDRESS,true,71bf43ccda7bf037176e1816af89aa08,system,user
CITY,"vault:v1:kIvKkPGDMKuH48eeB9aNXdJkS+YNrNwqcoZZ0itYgqXZjg==",TKN_CM2RQPPXOUWB_CITY,true,256be6ed1dacd4346e355277de613f81,system,user
COUNTRY,"vault:v1:ny2iXiB1P5UU3KBaumPl5kkxX/985duYarGIl7mrxuh8",TKN_CM2RQPPXOUWB_COUNTRY,true,27ebd4fbf620e61759dc1a624b6c0d3d,system,user
PASSPORT_NUMBER,"vault:v1:0w2xwy1mMGqZ3qSOqumChgcSBzjetKdDG7PCz8awJgGFSiKs",TKN_CM2RQPPXOUWB_PASSPORT_NUMBER,true,75fad7e27b5aa762a0d3489430a2f021,system,user
FIRST_NAME,"vault:v1:TSrHesdHag2PEfdeBIdufTfe6tlvNUybCE9LlkkKTZU=",TKN_W5294J9EOFAZ_FIRST_NAME,false,47d8770774814c4025bdec9aa97d0be3,system,batch_job
LAST_NAME,"vault:v1:yRkYpq8U50C9iqsgs19SVlSPa9BiihjH8eg/iZjE",TKN_W5294J9EOFAZ_LAST_NAME,false,f221d2ef6df654cb574b590da514599b,system,batch_job
EMAIL,"vault:v1:JjUoumzPbC55vGvfYz6l0jomEWzQJfjX30dzYScjNqNPN0iQ0SY0LoaZClzfs+4=",TKN_W5294J9EOFAZ_EMAIL,false,49adda78374430272ae67b239319d90d,system,batch_job
MOBILE_NUMBER,"vault:v1:c+aByN+sEAF1YRfdqTuiggQN8s4oeXjCj6dqmx2Lb/uzPTaxYpA=",TKN_W5294J9EOFAZ_MOBILE_NUMBER,false,97d6831e081622df9a4ccc9fe6783db6,system,batch_job
DATE_OF_BIRTH,"vault:v1:GNulJeogAadk28Qm5QA4m+7+Ox7REqH0XqOA5O4ETtZtF+pj4Vs=",TKN_W5294J9EOFAZ_DATE_OF_BIRTH,false,8d201eb4b7c4100f9b485afcf4a9c618,system,batch_job
ADDRESS,"vault:v1:iOC5/rz0cvckSdjS2rthFU0ZHcVaDW1fgfPvuXt2zSDYEGhI2jR2tlHYEaggKu3FNuikY+4CdD03m49T2H+MTySj+NHDm2NU4j4ja4qw0S9qLvI=",TKN_W5294J9EOFAZ_ADDRESS,false,933814f4accdc0620c63145012a297e6,system,batch_job
CITY,"vault:v1:bL1rVllaThYXtuo7cKwsUvrx7UOEBVQI40ApPcgt5uSOYQfVyw==",TKN_W5294J9EOFAZ_CITY,false,66376b92746827df9d6f6b53505debd0,system,batch_job
COUNTRY,"vault:v1:yd+rWPcQZ+QCoib7oVlaX/BKYFg0+h3tOMjF7SAl9Nz2",TKN_W5294J9EOFAZ_COUNTRY,false,d1485d03e71259d7d1fcf49532e04c85,system,batch_job
PAN_CARD,"vault:v1:dhF/nQW/bcp5mwPU5Qe3kG9h1IhoiL+WwgacKGgVqO7AqNkH+V0=",TKN_W5294J9EOFAZ_PAN_CARD,false,cbf57ea1d5fc4a9f9d6a8ed46061b5b9,system,batch_job
FIRST_NAME,"vault:v1:CgR4FSS9uONzi/skt2RRyyj+IiwbtWfKttsFSxGDn7zg",TKN_0R7WLS3C15X7_FIRST_NAME,false,5c3f50217df9c3b9f09ee545c05f7d73,batch_job,api
LAST_NAME,"vault:v1:eOPb2oh3fY39UlMzVJPiKVHaOhShzMmVcGrUBEzl7MIMNbQ=",TKN_0R7WLS3C15X7_LAST_NAME,false,ac4f9604365b43f557c8cc06ac6c5220,batch_job,api
EMAIL,"vault:v1:sDtIfMN3EbcjyWj/O785iRD+9GbAWHmY/yeckLup6guwzsQpVjrEAd6urP1K1yMqV+MUpdjf",TKN_0R7WLS3C15X7_EMAIL,false,26b6ab3d11064a687a939bbbfdb9df09,batch_job,api
MOBILE_NUMBER,"vault:v1:LFYOk79nv0jA53ytjYn8TlD5PIWTzzBI0ZrNQlyLCAVn0Cq5upo=",TKN_0R7WLS3C15X7_MOBILE_NUMBER,false,c537fe1f13494988c741502a4d7c56f4,batch_job,api
DATE_OF_BIRTH,"vault:v1:zsXRxQ9uMmM1NnqbMH797w9ayGuISR3ESihv6XZFp/lt+5lyLts=",TKN_0R7WLS3C15X7_DATE_OF_BIRTH,false,855df2caabc34f5988079603e94561ea,batch_job,api
ADDRESS,"vault:v1:qagF6JBMbmQk2WquumT7MsiacMYogZ/adAEZB40Cm2upAQN0vTMXiKTs+m5rI7gviL/DPexL+H1KDikAiRDSV0lVwJP5VGy5ORyDxf8IVRzoUkHHy0rtGQGQUA==",TKN_0R7WLS3C15X7_ADDRESS,false,06a6b2621d2ea588fc799b7bca469f64,batch_job,api
CITY,"vault:v1:xAtcUTpY1B/VR2Bb8lTjg/foS4Q8hfaSt0G8zMBItXLDHg==",TKN_0R7WLS3C15X7_CITY,false,e26a7936fba34f8a11816c117b46cb32,batch_job,api
COUNTRY,"vault:v1:1H+yI+7ErM7XGMZEGxJtn+D76kbRgELTpCLeQ6iNCdaz",TKN_0R7WLS3C15X7_COUNTRY,false,41256ff55704dc5127e74bdef8f9a3ce,batch_job,api
FIRST_NAME,"vault:v1:HMXmRs0nLWZxkveer8PikdJjkXX9EZs5hc97iVnvRA==",TKN_YCE5Q4VBEJAG_FIRST_NAME,true,58093e72e1695301c7533bc2e56e9515,system,admin
LAST_NAME,"vault:v1:rgUyh3weCl5w+V0Nk0Zt9EQmsADKXB90PaMrdKhkXxbxOQk=",TKN_YCE5Q4VBEJAG_LAST_NAME,true,a28e880b29a7b8ba0983647a94d16df8,system,admin
EMAIL,"vault:v1:ZlHWoiioercXFJxnE2ty8JBC2j+tB9ebzc8nHVAGjhZ6Sh/xNYtq/wIShqabj5awQlQOdt8=",TKN_YCE5Q4VBEJAG_EMAIL,true,a185a7ea4a721100020ae1dc165b323e,system,admin
MOBILE_NUMBER,"vault:v1:Tc5eXOt6fCfxyTk5q5zzyISHToN110TBYhOtpFMSToHtrmlqHY4=",TKN_YCE5Q4VBEJAG_MOBILE_NUMBER,true,d3584e3d2e089631df62660a24a368eb,system,admin
DATE_OF_BIRTH,"vault:v1:HUM909UM7rAkBfOTa36rtc8e33QRQ7fEtuYMwrUUnK0Mo9Tp7hI=",TKN_YCE5Q4VBEJAG_DATE_OF_BIRTH,true,6d734572d58e68ef3d9a56cb764f0123,system,admin
